CALLS,,PUTS
Chart,OI,ChnginOI,Volume,IV,LTP,NetChng,BidQty,BidPrice,AskPrice,AskQty,StrikePrice,BidQty,BidPrice,AskPrice,AskQty,NetChng,LTP,IV,Volume,ChnginOI,OI,Chart
,-,-,-,-,-,-,"4,950",950.15,"1,499.90","2,025",10600.00,-,-,0.10,"1,650",-24.85,0.05,-,"5,601","-50,850","102,750",
,-,-,-,-,-,-,"4,950",900.90,"1,236.05","4,950",10650.00,-,-,0.40,75,-23.70,0.05,-,31,-75,"3,450",
,150,-75,5,-,942.00,-75.25,"3,525",910.05,"1,399.85","3,525",10700.00,-,-,0.05,"94,350",-28.90,0.05,-,"15,606","-7,575","253,350",
,150,-,-,-,"1,159.25",-,"4,950",800.00,"1,054.15","4,950",10750.00,-,-,0.05,75,-32.40,0.10,-,44,-525,"1,725",
,150,"-1,500",24,-,940.45,-74.60,"3,525",781.65,968.95,"3,525",10800.00,-,-,0.05,"4,650",-34.20,0.05,-,"18,453","-108,600","181,275",
,-,-,-,-,-,-,"4,950",707.75,"1,005.20","4,950",10850.00,-,-,0.15,"4,425",-36.90,0.15,-,235,525,"8,550",
,300,-450,11,-,745.00,-174.00,"3,525",710.05,"1,199.80","3,525",10900.00,-,-,0.05,"4,875",-40.35,0.05,-,"13,711","-80,025","90,075",
,150,-,4,-,695.00,-76.10,75,660.05,908.35,75,10950.00,-,-,0.40,"4,425",-43.30,0.05,-,254,"-3,225","7,800",
,"3,000","-6,225",344,-,655.15,-161.35,225,655.15,668.95,"3,300",11000.00,-,-,0.05,"15,975",-48.15,0.05,-,"80,941","-539,925","524,100",
,75,"-1,350",34,-,615.65,-164.00,"3,525",117.20,737.50,"3,525",11050.00,-,-,0.05,"24,750",-52.35,0.05,-,"1,102","22,725","34,800",
,"1,050","-5,400",196,-,533.45,-187.05,"3,525",537.55,570.20,"3,525",11100.00,-,-,0.05,225,-55.95,0.05,-,"27,893","-100,050","119,400",
,225,"-2,175",69,-,495.00,-192.50,"3,525",487.55,520.20,"3,525",11150.00,-,-,0.05,"4,425",-62.35,0.05,-,"1,328","3,225","13,350",
,"1,275","-40,425","1,415",-,445.40,-192.85,225,445.40,459.95,"3,525",11200.00,-,-,0.10,75,-66.95,0.05,-,"48,870","-236,250","305,175",
,"1,950","-2,925",86,-,409.95,-189.70,75,403.10,419.95,"3,450",11250.00,-,-,0.05,150,-72.60,0.05,-,"1,435","-7,500","21,750",
,"9,375","-68,100","1,648",-,359.85,-180.15,75,351.05,359.85,"3,450",11300.00,-,-,0.05,"24,300",-79.45,0.05,-,"61,489","-286,875","262,950",
,"1,650","-3,600",153,-,298.00,-206.40,"3,525",290.40,313.90,"3,525",11350.00,-,-,0.05,"2,550",-85.65,0.05,-,"2,465","-9,525","28,725",
,"26,100","-65,250","3,334",-,258.40,-201.15,375,257.85,258.40,"3,525",11400.00,-,-,0.05,"3,675",-91.85,0.05,-,"106,500","-73,500","417,975",
,600,"-8,250",260,-,197.00,-237.50,225,195.00,208.25,"3,525",11450.00,-,-,0.05,"7,575",-99.80,0.05,-,"12,702","20,700","50,700",
,"7,950","-163,875","7,770",-,144.10,-234.45,"2,700",144.10,153.00,"1,500",11500.00,-,-,0.05,"57,075",-108.80,0.05,-,"278,923","217,575","1,092,975",
,"3,675","-9,450",657,-,107.15,-241.15,450,107.15,108.00,675,11550.00,-,-,0.05,"23,250",-121.35,0.05,-,"35,728","41,850","75,150",
,"13,875","-112,050","26,179",-,58.00,-247.20,"2,625",57.15,58.50,600,11600.00,-,-,0.05,"32,175",-135.40,0.05,-,"352,158","497,325","897,300",
,"156,150","143,175","60,796",-,1.70,-273.75,"6,150",1.70,2.00,"3,300",11650.00,-,-,0.05,"16,725",-150.05,0.05,-,"170,619","327,825","355,200",
,"1,034,175","635,925","215,734",-,0.05,-240.00,-,-,0.05,"57,000",11700.00,"4,500",37.95,38.00,"24,375",-129.10,38.00,-,"616,648","-209,925","173,700",
,"560,700","445,950","112,577",-,0.05,-208.95,-,-,0.05,"60,975",11750.00,"2,100",77.40,78.30,"1,350",-108.60,78.30,-,"173,167","-57,300","60,750",
,"1,679,625","887,175","428,730",-,0.05,-184.50,-,-,0.05,"91,875",11800.00,75,133.00,134.00,"10,350",-73.50,134.00,-,"571,161","-411,450","96,150",
,"481,500","406,425","169,563",-,0.05,-166.30,-,-,0.05,"11,250",11850.00,"2,400",177.20,178.10,"1,125",-58.45,177.90,-,"103,163","-8,700","9,825",
,"1,407,750","956,175","535,151",-,0.05,-142.35,-,-,0.05,"54,600",11900.00,450,225.05,225.90,"2,550",-37.50,225.90,-,"336,408","74,475","128,175",
,"338,775","268,125","130,886",-,0.05,-123.80,-,-,0.05,"17,850",11950.00,"3,525",276.85,278.65,"2,325",-26.60,278.65,-,"22,899","-4,125","2,625",
,"3,438,600","1,952,625","800,122",-,0.05,-106.85,-,-,0.05,"98,100",12000.00,"3,450",325.15,333.00,"3,300",-4.00,325.15,-,"139,378","-60,075","12,600",
,"211,200","151,875","77,212",-,0.05,-93.20,-,-,0.05,900,12050.00,75,381.00,397.30,"3,525",8.30,385.00,-,"5,239",375,825,
,"1,171,500","600,375","375,551",-,0.05,-77.50,-,-,0.05,"75,525",12100.00,75,430.15,433.00,"2,400",27.80,433.00,-,"12,566","-1,575","3,075",
,"134,025","102,150","33,283",-,0.05,-66.65,-,-,0.05,"4,875",12150.00,"3,525",460.05,482.00,150,-174.45,380.35,-,97,225,225,
,"2,317,575","1,338,000","349,229",-,0.05,-57.40,-,-,0.05,"69,075",12200.00,75,528.40,556.00,"3,525",57.70,535.00,-,"1,843","-7,050","1,200",
,"29,775","27,300","10,476",-,0.05,-50.90,-,-,0.05,"1,275",12250.00,75,57.05,685.00,75,-,-,-,-,-,-,
,"913,650","344,550","177,238",-,0.05,-42.55,-,-,0.05,"80,550",12300.00,"3,525",531.10,669.95,"3,525",89.70,645.00,-,114,-450,450,
,"33,225","23,250","2,942",-,0.10,-40.85,-,-,0.05,"2,400",12350.00,75,81.00,809.55,75,-,-,-,-,-,-,
,"899,175","114,375","140,068",-,0.05,-32.40,-,-,0.05,"50,025",12400.00,"2,025",290.10,770.00,75,-15.30,745.00,-,10,150,150,
,675,-,-,-,39.00,11.55,-,-,0.60,75,12450.00,75,51.05,895.05,"4,950",-,-,-,-,-,-,
,"1,964,475","280,800","256,133",-,0.05,-26.25,-,-,0.05,"114,900",12500.00,"3,525",527.45,869.95,"3,525",87.80,845.00,-,81,-675,225,
,"23,850","23,850",807,-,0.05,-25.65,-,-,0.05,"18,525",12550.00,"4,950",705.40,"1,018.55","4,950",-,-,-,-,-,-,
,"658,500","181,275","72,012",-,0.05,-20.55,-,-,0.05,"45,375",12600.00,"2,025",485.10,"1,024.85","4,950",-,-,-,-,-,-,
,"1,125","1,125",34,-,0.05,-18.50,-,-,0.35,300,12650.00,"4,950",797.15,"1,114.35","4,950",-,-,-,-,-,-,
,"313,800","-48,750","34,202",-,0.05,-16.45,-,-,0.05,"16,200",12700.00,"2,025",585.10,"1,124.85","4,950",-,-,-,-,-,-,
,750,750,27,-,0.15,-13.05,-,-,0.05,675,12750.00,"4,950",888.25,"1,221.15","4,950",-,-,-,-,-,-,
,"430,575","30,900","33,149",-,0.05,-13.65,-,-,0.05,"54,825",12800.00,"4,950",821.10,"1,224.85","4,950",-,-,-,-,-,-,
,750,750,19,-,0.15,-9.10,-,-,0.05,75,12850.00,"4,950",973.60,"1,320.15","4,950",-,-,-,-,-,-,
,"127,500","-3,525","16,798",-,0.05,-11.05,-,-,0.05,"13,650",12900.00,"4,950",877.70,"1,324.85","4,950",-,-,-,-,-,-,
,600,375,13,-,0.20,-5.30,-,-,0.40,225,12950.00,975,"1,151.65","1,499.50",975,-,-,-,-,-,-,
,"1,236,825","131,400","90,599",-,0.05,-8.40,-,-,0.05,"146,250",13000.00,"4,950",885.35,"1,424.85","4,950",-,-,-,-,-,-,
,"27,975","11,100","1,113",-,0.05,-7.75,-,-,0.05,"9,750",13050.00,"5,925","1,242.05","1,529.75",975,-,-,-,-,-,-,
,"51,750","-8,100","5,933",-,0.05,-7.10,-,-,0.05,675,13100.00,"4,950","1,040.00","1,524.85","4,950",-,-,-,-,-,-,
,975,-225,21,-,0.05,-7.75,-,-,0.05,75,13150.00,"4,950","1,311.80","1,651.70","4,950",-,-,-,-,-,-,
,"104,925","-17,325","6,365",-,0.05,-6.25,-,-,0.05,"18,000",13200.00,"4,950","1,138.95","1,624.85","4,950",-,-,-,-,-,-,
,"12,825","-3,900",345,-,0.05,-6.95,-,-,0.05,"1,800",13250.00,"4,950","1,089.80","1,966.15",975,-,-,-,-,-,-,
,"579,150","-111,300","33,588",-,0.05,-5.75,-,-,0.05,"72,900",13300.00,"4,950","1,224.80","1,724.80",975,-,-,-,-,-,-,
,"123,225","48,450","4,903",-,0.05,-4.85,-,-,0.05,"15,150",13350.00,900,"1,132.25","1,821.65",900,-,-,-,-,-,-,
Total,"20,539,950",,"4,217,827",,"3,281,589",,"6,600,825",Total
